alert_id	created_at	state	start_time	end_time	start_fuel	end_fuel	delta	duration_s	avg_rate	confidence
2026-07-18T13:48:31.372808_Idle End_49.94	2026-07-18T13:48:31.372808	Idle End	2026-07-18T13:48:31.372808	2026-07-18T13:48:31.372808	49.94	49.94	0.00	0	0.0000	0.9000
2026-07-18T13:49:10.473133_Idle Start_47.64	2026-07-18T13:49:10.473133	Idle Start	2026-07-18T13:49:10.473133	2026-07-18T13:49:10.473133	47.64	47.64	0.00	0	0.0000	0.6000
2026-07-18T13:49:24.508409_Refuel_49.91_49.91	2026-07-18T13:49:24.508409	Refuel	2026-07-18T13:49:24.508409	2026-07-18T13:49:24.508409	49.91	49.91	0.00	0	0.0000	0.6118
2026-07-18T13:49:24.508409_Idle End_49.91	2026-07-18T13:49:24.508409	Idle End	2026-07-18T13:49:24.508409	2026-07-18T13:49:24.508409	49.91	49.91	0.00	0	0.0000	0.6118
2026-07-18T13:49:24.508409_Refuel_49.91_50.35	2026-07-18T13:49:25.509342	Refuel	2026-07-18T13:49:24.508409	2026-07-18T13:49:25.509342	49.91	50.35	0.44	1	26.4000	0.6214
2026-07-18T13:49:24.508409_Refuel_49.91_50.80	2026-07-18T13:49:26.510239	Refuel	2026-07-18T13:49:24.508409	2026-07-18T13:49:26.510239	49.91	50.80	0.89	2	26.7000	0.6312
2026-07-18T13:49:24.508409_Refuel_49.91_51.25	2026-07-18T13:49:27.511769	Refuel	2026-07-18T13:49:24.508409	2026-07-18T13:49:27.511769	49.91	51.25	1.34	3	26.8000	0.6410
2026-07-18T13:49:24.508409_Refuel_49.91_51.70	2026-07-18T13:49:28.513418	Refuel	2026-07-18T13:49:24.508409	2026-07-18T13:49:28.513418	49.91	51.70	1.79	4	26.8500	0.6508
2026-07-18T13:49:24.508409_Refuel_49.91_52.15	2026-07-18T13:49:29.514889	Refuel	2026-07-18T13:49:24.508409	2026-07-18T13:49:29.514889	49.91	52.15	2.24	5	26.8800	0.6607
2026-07-18T13:49:24.508409_Refuel_49.91_52.61	2026-07-18T13:49:30.515819	Refuel	2026-07-18T13:49:24.508409	2026-07-18T13:49:30.515819	49.91	52.61	2.70	6	27.0000	0.6706
2026-07-18T13:50:19.654270_Idle Start_48.83	2026-07-18T13:50:19.654270	Idle Start	2026-07-18T13:50:19.654270	2026-07-18T13:50:19.654270	48.83	48.83	0.00	0	0.0000	0.6000
2026-07-18T13:50:25.663539_Fuel Theft_41.63_41.63	2026-07-18T13:50:25.663539	Fuel Theft	2026-07-18T13:50:25.663539	2026-07-18T13:50:25.663539	41.63	41.63	0.00	0	0.0000	0.8905
2026-07-18T13:50:25.663539_Idle End_41.63	2026-07-18T13:50:25.663539	Idle End	2026-07-18T13:50:25.663539	2026-07-18T13:50:25.663539	41.63	41.63	0.00	0	0.0000	0.8905
2026-07-18T13:50:25.663539_Fuel Theft_41.63_40.43	2026-07-18T13:50:26.664967	Fuel Theft	2026-07-18T13:50:25.663539	2026-07-18T13:50:26.664967	41.63	40.43	-1.20	1	-72.0000	0.9154
2026-07-18T13:50:25.663539_Fuel Theft_41.63_38.03	2026-07-18T13:50:28.672300	Fuel Theft	2026-07-18T13:50:25.663539	2026-07-18T13:50:28.672300	41.63	38.03	-3.60	3	-72.0000	0.9270
2026-07-18T13:50:25.663539_Fuel Theft_41.63_36.83	2026-07-18T13:50:29.673374	Fuel Theft	2026-07-18T13:50:25.663539	2026-07-18T13:50:29.673374	41.63	36.83	-4.80	4	-72.0000	0.9327
2026-07-18T13:50:25.663539_Fuel Theft_41.63_35.62	2026-07-18T13:50:30.674358	Fuel Theft	2026-07-18T13:50:25.663539	2026-07-18T13:50:30.674358	41.63	35.62	-6.01	5	-72.1200	0.9362
2026-07-18T13:50:25.663539_Fuel Theft_41.63_34.42	2026-07-18T13:50:31.675720	Fuel Theft	2026-07-18T13:50:25.663539	2026-07-18T13:50:31.675720	41.63	34.42	-7.21	6	-72.1000	0.9385
2026-07-18T13:50:25.663539_Fuel Theft_41.63_33.22	2026-07-18T13:50:32.677189	Fuel Theft	2026-07-18T13:50:25.663539	2026-07-18T13:50:32.677189	41.63	33.22	-8.41	7	-72.0857	0.9401
2026-07-18T13:50:41.708879_Idle Start_33.22	2026-07-18T13:50:41.708879	Idle Start	2026-07-18T13:50:41.708879	2026-07-18T13:50:41.708879	33.22	33.22	0.00	0	0.0000	0.7000
2026-07-18T13:50:45.715207_Idle End_33.16	2026-07-18T13:50:45.715207	Idle End	2026-07-18T13:50:45.715207	2026-07-18T13:50:45.715207	33.16	33.16	0.00	0	0.0000	0.9000
2026-07-18T13:51:22.813818_Idle Start_31.01	2026-07-18T13:51:22.813818	Idle Start	2026-07-18T13:51:22.813818	2026-07-18T13:51:22.813818	31.01	31.01	0.00	0	0.0000	0.6000
2026-07-18T13:51:31.850848_Idle End_30.95	2026-07-18T13:51:31.850848	Idle End	2026-07-18T13:51:31.850848	2026-07-18T13:51:31.850848	30.95	30.95	0.00	0	0.0000	0.9000
2026-07-18T13:52:07.919989_Idle Start_28.84	2026-07-18T13:52:07.919989	Idle Start	2026-07-18T13:52:07.919989	2026-07-18T13:52:07.919989	28.84	28.84	0.00	0	0.0000	0.6000
2026-07-18T13:52:25.954522_Refuel_31.08_31.08	2026-07-18T13:52:25.954522	Refuel	2026-07-18T13:52:25.954522	2026-07-18T13:52:25.954522	31.08	31.08	0.00	0	0.0000	0.6105
2026-07-18T13:52:25.954522_Idle End_31.08	2026-07-18T13:52:25.954522	Idle End	2026-07-18T13:52:25.954522	2026-07-18T13:52:25.954522	31.08	31.08	0.00	0	0.0000	0.6105
2026-07-18T13:52:25.954522_Refuel_31.08_31.53	2026-07-18T13:52:26.955897	Refuel	2026-07-18T13:52:25.954522	2026-07-18T13:52:26.955897	31.08	31.53	0.45	1	27.0000	0.6203
2026-07-18T13:52:25.954522_Refuel_31.08_31.98	2026-07-18T13:52:27.957045	Refuel	2026-07-18T13:52:25.954522	2026-07-18T13:52:27.957045	31.08	31.98	0.90	2	27.0000	0.6302
2026-07-18T13:52:25.954522_Refuel_31.08_32.43	2026-07-18T13:52:28.958387	Refuel	2026-07-18T13:52:25.954522	2026-07-18T13:52:28.958387	31.08	32.43	1.35	3	27.0000	0.6400
2026-07-18T13:52:25.954522_Refuel_31.08_33.33	2026-07-18T13:52:30.966240	Refuel	2026-07-18T13:52:25.954522	2026-07-18T13:52:30.966240	31.08	33.33	2.25	5	27.0000	0.6538
2026-07-18T13:52:25.954522_Refuel_31.08_33.78	2026-07-18T13:52:31.967347	Refuel	2026-07-18T13:52:25.954522	2026-07-18T13:52:31.967347	31.08	33.78	2.70	6	27.0000	0.6663
2026-07-18T13:52:25.954522_Refuel_31.08_34.23	2026-07-18T13:52:32.969129	Refuel	2026-07-18T13:52:25.954522	2026-07-18T13:52:32.969129	31.08	34.23	3.15	7	27.0000	0.6780
2026-07-18T13:52:25.954522_Refuel_31.08_34.68	2026-07-18T13:52:33.970988	Refuel	2026-07-18T13:52:25.954522	2026-07-18T13:52:33.970988	31.08	34.68	3.60	8	27.0000	0.6868
2026-07-18T13:52:25.954522_Refuel_31.08_35.13	2026-07-18T13:52:34.972631	Refuel	2026-07-18T13:52:25.954522	2026-07-18T13:52:34.972631	31.08	35.13	4.05	9	27.0000	0.6915
2026-07-18T13:52:25.954522_Refuel_31.08_35.58	2026-07-18T13:52:35.973802	Refuel	2026-07-18T13:52:25.954522	2026-07-18T13:52:35.973802	31.08	35.58	4.50	10	27.0000	0.6952
2026-07-18T13:52:25.954522_Refuel_31.08_36.48	2026-07-18T13:52:37.981805	Refuel	2026-07-18T13:52:25.954522	2026-07-18T13:52:37.981805	31.08	36.48	5.40	12	27.0000	0.7001
2026-07-18T13:52:25.954522_Refuel_31.08_36.93	2026-07-18T13:52:38.983004	Refuel	2026-07-18T13:52:25.954522	2026-07-18T13:52:38.983004	31.08	36.93	5.85	13	27.0000	0.7042
2026-07-18T13:53:36.109625_Idle Start_32.80	2026-07-18T13:53:36.109625	Idle Start	2026-07-18T13:53:36.109625	2026-07-18T13:53:36.109625	32.80	32.80	0.00	0	0.0000	0.6000
2026-07-18T13:53:41.125389_Fuel Theft_26.80_26.80	2026-07-18T13:53:41.125389	Fuel Theft	2026-07-18T13:53:41.125389	2026-07-18T13:53:41.125389	26.80	26.80	0.00	0	0.0000	0.8432
2026-07-18T13:53:41.125389_Idle End_26.80	2026-07-18T13:53:41.125389	Idle End	2026-07-18T13:53:41.125389	2026-07-18T13:53:41.125389	26.80	26.80	0.00	0	0.0000	0.8432
2026-07-18T13:53:41.125389_Fuel Theft_26.80_25.60	2026-07-18T13:53:42.126634	Fuel Theft	2026-07-18T13:53:41.125389	2026-07-18T13:53:42.126634	26.80	25.60	-1.20	1	-72.0000	0.8667
2026-07-18T13:53:41.125389_Fuel Theft_26.80_23.20	2026-07-18T13:53:44.134126	Fuel Theft	2026-07-18T13:53:41.125389	2026-07-18T13:53:44.134126	26.80	23.20	-3.60	3	-72.0000	0.8944
2026-07-18T13:53:41.125389_Fuel Theft_26.80_22.00	2026-07-18T13:53:45.135302	Fuel Theft	2026-07-18T13:53:41.125389	2026-07-18T13:53:45.135302	26.80	22.00	-4.80	4	-72.0000	0.9083
2026-07-18T13:53:41.125389_Fuel Theft_26.80_20.80	2026-07-18T13:53:46.136220	Fuel Theft	2026-07-18T13:53:41.125389	2026-07-18T13:53:46.136220	26.80	20.80	-6.00	5	-72.0000	0.9167
2026-07-18T13:53:41.125389_Fuel Theft_26.80_19.60	2026-07-18T13:53:47.137432	Fuel Theft	2026-07-18T13:53:41.125389	2026-07-18T13:53:47.137432	26.80	19.60	-7.20	6	-72.0000	0.9222
2026-07-18T13:53:41.125389_Fuel Theft_26.80_18.40	2026-07-18T13:53:48.138506	Fuel Theft	2026-07-18T13:53:41.125389	2026-07-18T13:53:48.138506	26.80	18.40	-8.40	7	-72.0000	0.9262
2026-07-18T13:53:41.125389_Fuel Theft_26.80_17.20	2026-07-18T13:53:50.145989	Fuel Theft	2026-07-18T13:53:41.125389	2026-07-18T13:53:50.145989	26.80	17.20	-9.60	9	-64.0000	0.9292
2026-07-18T13:53:59.162665_Idle Start_17.20	2026-07-18T13:53:59.162665	Idle Start	2026-07-18T13:53:59.162665	2026-07-18T13:53:59.162665	17.20	17.20	0.00	0	0.0000	0.7000
2026-07-18T13:54:05.180344_Idle End_17.14	2026-07-18T13:54:05.180344	Idle End	2026-07-18T13:54:05.180344	2026-07-18T13:54:05.180344	17.14	17.14	0.00	0	0.0000	0.9000
2026-07-18T13:54:53.299673_Idle Start_14.32	2026-07-18T13:54:53.299673	Idle Start	2026-07-18T13:54:53.299673	2026-07-18T13:54:53.299673	14.32	14.32	0.00	0	0.0000	0.6000
2026-07-18T13:55:08.333612_Idle End_14.20	2026-07-18T13:55:08.333612	Idle End	2026-07-18T13:55:08.333612	2026-07-18T13:55:08.333612	14.20	14.20	0.00	0	0.0000	0.9000
2026-07-18T13:55:42.468871_Idle Start_12.24	2026-07-18T13:55:42.468871	Idle Start	2026-07-18T13:55:42.468871	2026-07-18T13:55:42.468871	12.24	12.24	0.00	0	0.0000	0.6000
2026-07-15T08:00:05_Idle Start_50.00	2026-07-15T08:00:05	Idle Start	2026-07-15T08:00:05	2026-07-15T08:00:05	50.00	50.00	0.00	0	0.0000	0.7000
2026-07-15T08:00:10_Idle Start_50.00	2026-07-15T08:00:10	Idle Start	2026-07-15T08:00:10	2026-07-15T08:00:10	50.00	50.00	0.00	0	0.0000	0.7000
2026-07-18T13:56:00.533966_Refuel_14.48_14.48	2026-07-18T13:56:00.533966	Refuel	2026-07-18T13:56:00.533966	2026-07-18T13:56:00.533966	14.48	14.48	0.00	0	0.0000	0.6105
2026-07-18T13:56:00.533966_Idle End_14.48	2026-07-18T13:56:00.533966	Idle End	2026-07-18T13:56:00.533966	2026-07-18T13:56:00.533966	14.48	14.48	0.00	0	0.0000	0.6105
2026-07-15T08:00:15_Idle Start_50.00	2026-07-15T08:00:15	Idle Start	2026-07-15T08:00:15	2026-07-15T08:00:15	50.00	50.00	0.00	0	0.0000	0.7000
2026-07-18T13:56:00.533966_Refuel_14.48_15.38	2026-07-18T13:56:02.545282	Refuel	2026-07-18T13:56:00.533966	2026-07-18T13:56:02.545282	14.48	15.38	0.90	2	27.0000	0.6302
2026-07-15T08:00:20_Idle Start_50.00	2026-07-15T08:00:20	Idle Start	2026-07-15T08:00:20	2026-07-15T08:00:20	50.00	50.00	0.00	0	0.0000	0.7000
2026-07-18T13:56:00.533966_Refuel_14.48_15.84	2026-07-18T13:56:03.546697	Refuel	2026-07-18T13:56:00.533966	2026-07-18T13:56:03.546697	14.48	15.84	1.36	3	27.2000	0.6435
2026-07-15T08:00:25_Idle Start_50.00	2026-07-15T08:00:25	Idle Start	2026-07-15T08:00:25	2026-07-15T08:00:25	50.00	50.00	0.00	0	0.0000	0.7000
2026-07-18T13:56:00.533966_Refuel_14.48_16.28	2026-07-18T13:56:04.548888	Refuel	2026-07-18T13:56:00.533966	2026-07-18T13:56:04.548888	14.48	16.28	1.80	4	27.0000	0.6549
2026-07-15T08:00:30_Idle Start_50.00	2026-07-15T08:00:30	Idle Start	2026-07-15T08:00:30	2026-07-15T08:00:30	50.00	50.00	0.00	0	0.0000	0.7000
2026-07-18T13:56:00.533966_Refuel_14.48_16.74	2026-07-18T13:56:05.550021	Refuel	2026-07-18T13:56:00.533966	2026-07-18T13:56:05.550021	14.48	16.74	2.26	5	27.1200	0.6658
2026-07-15T08:00:35_Idle Start_50.00	2026-07-15T08:00:35	Idle Start	2026-07-15T08:00:35	2026-07-15T08:00:35	50.00	50.00	0.00	0	0.0000	0.7000
2026-07-18T13:56:00.533966_Refuel_14.48_17.64	2026-07-18T13:56:07.560193	Refuel	2026-07-18T13:56:00.533966	2026-07-18T13:56:07.560193	14.48	17.64	3.16	7	27.0857	0.6796
2026-07-15T08:00:40_Idle Start_50.00	2026-07-15T08:00:40	Idle Start	2026-07-15T08:00:40	2026-07-15T08:00:40	50.00	50.00	0.00	0	0.0000	0.7000
2026-07-18T13:56:00.533966_Refuel_14.48_18.09	2026-07-18T13:56:08.560933	Refuel	2026-07-18T13:56:00.533966	2026-07-18T13:56:08.560933	14.48	18.09	3.61	8	27.0750	0.6923
2026-07-15T08:00:45_Idle Start_50.00	2026-07-15T08:00:45	Idle Start	2026-07-15T08:00:45	2026-07-15T08:00:45	50.00	50.00	0.00	0	0.0000	0.7000
2026-07-18T13:56:00.533966_Refuel_14.48_18.54	2026-07-18T13:56:09.561600	Refuel	2026-07-18T13:56:00.533966	2026-07-18T13:56:09.561600	14.48	18.54	4.06	9	27.0667	0.6994
2026-07-15T08:00:50_Idle Start_50.00	2026-07-15T08:00:50	Idle Start	2026-07-15T08:00:50	2026-07-15T08:00:50	50.00	50.00	0.00	0	0.0000	0.7000
2026-07-18T13:56:00.533966_Refuel_14.48_18.99	2026-07-18T13:56:10.564154	Refuel	2026-07-18T13:56:00.533966	2026-07-18T13:56:10.564154	14.48	18.99	4.51	10	27.0600	0.7049
2026-07-15T08:00:55_Idle Start_50.00	2026-07-15T08:00:55	Idle Start	2026-07-15T08:00:55	2026-07-15T08:00:55	50.00	50.00	0.00	0	0.0000	0.7000
2026-07-18T13:56:00.533966_Refuel_14.48_19.44	2026-07-18T13:56:11.565253	Refuel	2026-07-18T13:56:00.533966	2026-07-18T13:56:11.565253	14.48	19.44	4.96	11	27.0545	0.7093
2026-07-15T08:01:00_Idle Start_50.00	2026-07-15T08:01:00	Idle Start	2026-07-15T08:01:00	2026-07-15T08:01:00	50.00	50.00	0.00	0	0.0000	0.7000
2026-07-18T13:56:00.533966_Refuel_14.48_20.34	2026-07-18T13:56:13.571965	Refuel	2026-07-18T13:56:00.533966	2026-07-18T13:56:13.571965	14.48	20.34	5.86	13	27.0462	0.7147
2026-07-15T08:01:05_Idle Start_50.00	2026-07-15T08:01:05	Idle Start	2026-07-15T08:01:05	2026-07-15T08:01:05	50.00	50.00	0.00	0	0.0000	0.7000
2026-07-15T08:01:10_Idle Start_50.00	2026-07-15T08:01:10	Idle Start	2026-07-15T08:01:10	2026-07-15T08:01:10	50.00	50.00	0.00	0	0.0000	0.7000
2026-07-15T08:03:50_Idle Start_51.70	2026-07-15T08:03:50	Idle Start	2026-07-15T08:03:50	2026-07-15T08:03:50	51.70	51.70	0.00	0	0.0000	0.7000
2026-07-15T08:04:00_Refuel_55.20_66.50	2026-07-15T08:04:30	Refuel	2026-07-15T08:04:00	2026-07-15T08:04:30	55.20	66.50	11.30	30	22.6000	0.9288
2026-07-15T08:04:05_Refuel_56.80_66.50	2026-07-15T08:04:30	Refuel	2026-07-15T08:04:05	2026-07-15T08:04:30	56.80	66.50	9.70	25	23.2800	0.9434
2026-07-15T08:04:10_Refuel_59.10_66.50	2026-07-15T08:04:30	Refuel	2026-07-15T08:04:10	2026-07-15T08:04:30	59.10	66.50	7.40	20	22.2000	0.9500
2026-07-15T08:04:15_Refuel_61.30_66.50	2026-07-15T08:04:30	Refuel	2026-07-15T08:04:15	2026-07-15T08:04:30	61.30	66.50	5.20	15	20.8000	0.9500
2026-07-15T08:04:20_Refuel_63.10_66.50	2026-07-15T08:04:30	Refuel	2026-07-15T08:04:20	2026-07-15T08:04:30	63.10	66.50	3.40	10	20.4000	0.9500
2026-07-15T08:04:25_Refuel_64.70_66.50	2026-07-15T08:04:30	Refuel	2026-07-15T08:04:25	2026-07-15T08:04:30	64.70	66.50	1.80	5	21.6000	0.9500
2026-07-15T08:04:30_Refuel_66.50_66.50	2026-07-15T08:04:30	Refuel	2026-07-15T08:04:30	2026-07-15T08:04:30	66.50	66.50	0.00	0	0.0000	0.9500
2026-07-18T13:57:11.733830_Idle Start_16.13	2026-07-18T13:57:11.733830	Idle Start	2026-07-18T13:57:11.733830	2026-07-18T13:57:11.733830	16.13	16.13	0.00	0	0.0000	0.6000
2026-07-18T13:57:17.743875_Fuel Theft_8.93_8.93	2026-07-18T13:57:17.743875	Fuel Theft	2026-07-18T13:57:17.743875	2026-07-18T13:57:17.743875	8.93	8.93	0.00	0	0.0000	0.8927
2026-07-18T13:57:17.743875_Idle End_8.93	2026-07-18T13:57:17.743875	Idle End	2026-07-18T13:57:17.743875	2026-07-18T13:57:17.743875	8.93	8.93	0.00	0	0.0000	0.8927
2026-07-18T13:57:17.743875_Fuel Theft_8.93_6.53	2026-07-18T13:57:19.750775	Fuel Theft	2026-07-18T13:57:17.743875	2026-07-18T13:57:19.750775	8.93	6.53	-2.40	2	-72.0000	0.9213
2026-07-18T13:57:17.743875_Fuel Theft_8.93_5.33	2026-07-18T13:57:20.752010	Fuel Theft	2026-07-18T13:57:17.743875	2026-07-18T13:57:20.752010	8.93	5.33	-3.60	3	-72.0000	0.9309
2026-07-18T13:57:17.743875_Fuel Theft_8.93_5.00	2026-07-18T13:57:21.753344	Fuel Theft	2026-07-18T13:57:17.743875	2026-07-18T13:57:21.753344	8.93	5.00	-3.93	4	-58.9500	0.9357
2026-07-18T13:57:30.784191_Idle Start_5.00	2026-07-18T13:57:30.784191	Idle Start	2026-07-18T13:57:30.784191	2026-07-18T13:57:30.784191	5.00	5.00	0.00	0	0.0000	0.7000
2026-07-18T13:57:38.806836_Idle End_5.00	2026-07-18T13:57:38.806836	Idle End	2026-07-18T13:57:38.806836	2026-07-18T13:57:38.806836	5.00	5.00	0.00	0	0.0000	0.9000
2026-07-15T08:06:45_Idle Start_59.30	2026-07-15T08:06:45	Idle Start	2026-07-15T08:06:45	2026-07-15T08:06:45	59.30	59.30	0.00	0	0.0000	0.7000
2026-07-15T08:06:55_Fuel Theft_54.40_39.70	2026-07-15T08:07:55	Fuel Theft	2026-07-15T08:06:55	2026-07-15T08:07:55	54.40	39.70	-14.70	60	-14.7000	0.9460
2026-07-15T08:07:00_Fuel Theft_51.50_39.70	2026-07-15T08:07:55	Fuel Theft	2026-07-15T08:07:00	2026-07-15T08:07:55	51.50	39.70	-11.80	55	-12.8727	0.9456
2026-07-15T08:07:05_Fuel Theft_48.50_39.70	2026-07-15T08:07:55	Fuel Theft	2026-07-15T08:07:05	2026-07-15T08:07:55	48.50	39.70	-8.80	50	-10.5600	0.9452
2026-07-15T08:07:10_Fuel Theft_46.40_39.70	2026-07-15T08:07:55	Fuel Theft	2026-07-15T08:07:10	2026-07-15T08:07:55	46.40	39.70	-6.70	45	-8.9333	0.9447
2026-07-15T08:07:15_Fuel Theft_44.00_39.70	2026-07-15T08:07:55	Fuel Theft	2026-07-15T08:07:15	2026-07-15T08:07:55	44.00	39.70	-4.30	40	-6.4500	0.9442
2026-07-15T08:07:20_Fuel Theft_41.90_39.70	2026-07-15T08:07:55	Fuel Theft	2026-07-15T08:07:20	2026-07-15T08:07:55	41.90	39.70	-2.20	35	-3.7714	0.9434
2026-07-15T08:07:25_Fuel Theft_39.70_39.70	2026-07-15T08:07:55	Fuel Theft	2026-07-15T08:07:25	2026-07-15T08:07:55	39.70	39.70	0.00	30	0.0000	0.9425
2026-07-15T08:07:30_Fuel Theft_39.70_39.70	2026-07-15T08:07:55	Fuel Theft	2026-07-15T08:07:30	2026-07-15T08:07:55	39.70	39.70	0.00	25	0.0000	0.9413
2026-07-15T08:07:35_Fuel Theft_39.70_39.70	2026-07-15T08:07:55	Fuel Theft	2026-07-15T08:07:35	2026-07-15T08:07:55	39.70	39.70	0.00	20	0.0000	0.9395
2026-07-15T08:07:40_Fuel Theft_39.70_39.70	2026-07-15T08:07:55	Fuel Theft	2026-07-15T08:07:40	2026-07-15T08:07:55	39.70	39.70	0.00	15	0.0000	0.9369
2026-07-15T08:07:45_Fuel Theft_39.70_39.70	2026-07-15T08:07:55	Fuel Theft	2026-07-15T08:07:45	2026-07-15T08:07:55	39.70	39.70	0.00	10	0.0000	0.9325
2026-07-15T08:07:50_Fuel Theft_39.70_39.70	2026-07-15T08:07:55	Fuel Theft	2026-07-15T08:07:50	2026-07-15T08:07:55	39.70	39.70	0.00	5	0.0000	0.9237
